web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1742812629-129","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Mosca","ITA","1","1","16","0.03","5.56","18"
"1742812629-130","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Lucconi","ITA","1","0","0","0.20","100.00","1"
"1742812629-131","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Diamantini","ITA","1","1","7","0.03","11.11","9"
"1742812629-132","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Pope","AUS","1","0","3","0.06","25.00","4"
"1742812629-133","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Gollini","ITA","1","1","12","0.03","7.14","14"
"1742812629-134","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Stankovic","ITA","1","0","13","0.03","7.14","14"
"1742812629-135","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Krick","GER","1","0","0","0.04","100.00","1"
"1742812629-136","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Bossi","ITA","1","0","2","0.03","33.33","3"
"1742812629-137","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","50","Marechal","FRA","1","0","0","0.03","100.00","1"
"1742812629-138","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Flavio","BRA","0","0","10","0.00","0.00","10"
"1742812629-139","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Cardenas","CUB","0","0","0","","","0"
"1742812629-140","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Mengozzi","ITA","0","0","2","0.00","0.00","2"
"1742812629-141","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Marttila","FIN","0","1","10","0.00","0.00","11"
"1742812629-142","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Pirazzoli","ITA","0","0","2","0.00","0.00","2"
"1742812629-143","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Pisoni","ITA","0","0","0","","","0"
"1742812629-144","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Magliano","ITA","0","0","0","","","0"
