web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success Percentage,Total
"1741279003-137","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","85","Vucicevic","SRB","18","13","13","1.50","40.91","44"
"1741279003-138","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","86","J.Manavi","IRI","17","9","13","4.25","43.59","39"
"1741279003-139","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","86","Mosca","ITA","17","3","6","1.55","65.38","26"
"1741279003-140","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","86","M. Elser","CAN","17","6","22","1.42","37.78","45"
"1741279003-141","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","87","Shahrooz","IRI","16","3","9","1.33","57.14","28"
"1741279003-142","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","88","Gotsev","BUL","15","4","12","1.25","48.39","31"
"1741279003-143","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","88","Bołądź","POL","15","7","7","3.75","51.72","29"
"1741279003-144","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","89","Gallego","ARG","14","2","14","1.08","46.67","30"
"1741279003-145","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","90","N. Penchev","BUL","13","6","17","1.62","36.11","36"
"1741279003-146","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","90","Javad","IRI","13","0","9","1.08","59.09","22"
"1741279003-147","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","90","Szymanski","POL","13","5","6","3.25","54.17","24"
"1741279003-148","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","90","Anzani","ITA","13","0","4","3.25","76.47","17"
"1741279003-149","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","91","Petkov","BUL","12","1","9","1.00","54.55","22"
"1741279003-150","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","91","Jelveh","IRI","12","3","9","1.00","50.00","24"
"1741279003-151","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","91","Sanguinetti","ITA","12","2","5","1.09","63.16","19"
"1741279003-152","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","91","Keemink","NED","12","0","3","1.00","80.00","15"
"1741279003-153","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","92","Kessel","USA","11","3","3","1.38","64.71","17"
"1741279003-154","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","92","Ter Horst","NED","11","7","11","1.38","37.93","29"
"1741279003-155","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","93","Armoa Morel","ARG","10","6","6","0.77","45.45","22"
"1741279003-156","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","93","Pedroso","CUB","10","5","8","0.83","43.48","23"
"1741279003-157","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","93","Kaliberda","GER","10","9","12","0.83","32.26","31"
"1741279003-158","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","94","Tomita","JPN","9","0","6","0.60","60.00","15"
"1741279003-159","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","94","Gutierrez","CUB","9","0","8","0.75","52.94","17"
"1741279003-160","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","95","Porro P.","ITA","8","0","1","2.00","88.89","9"
"1741279003-161","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","95","Brizard","FRA","8","2","9","0.89","42.11","19"
"1741279003-162","https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/2023/statistics/men/best-attackers/","96","De Cecco","ARG","7","1","6","0.78","50.00","14"
