web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
"1742808566-171","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Guzzo","ITA","0","0","0","","","0"
"1742808566-172","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Sottile","ITA","0","0","0","","","0"
"1742808566-173","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Marchisio","ITA","0","0","0","","","0"
"1742808566-174","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Jeroncic","ITA","0","0","0","","","0"
"1742808566-175","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Balaso","ITA","0","0","0","","","0"
"1742808566-176","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Penna","ITA","0","0","0","","","0"
"1742808566-177","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Ambrose","ITA","0","0","0","","","0"
"1742808566-178","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Laurenzano","ITA","0","0","0","","","0"
"1742808566-179","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Pellegrino","ITA","0","0","0","","","0"
"1742808566-180","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Pochini","ITA","0","0","0","","","0"
"1742808566-181","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Rizzo","ITA","0","0","0","","","0"
"1742808566-182","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Staforini","ITA","0","0","0","","","0"
"1742808566-183","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Daldello","ITA","0","0","0","","","0"
"1742808566-184","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Pesaresi","ITA","0","0","0","","","0"
"1742808566-185","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Carbone","ITA","0","0","0","","","0"
"1742808566-186","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Russo","ITA","0","0","0","","","0"
"1742808566-187","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Condorelli","ITA","0","0","0","","","0"
"1742808566-188","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Bellanova","ITA","0","0","0","","","0"
"1742808566-189","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Tauletta","ITA","0","0","0","","","0"
"1742808566-190","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Ricci Maccarini","ITA","0","0","0","","","0"
"1742808566-191","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Gianotti","ITA","0","0","0","","","0"
"1742808566-192","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-attackers/","116","Laurendi","ITA","0","0","0","","","0"
