web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Succesful,Errors,Attemps,Average Per Match,Success,Total
"1742809622-114","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","65","Bisi","ITA","2","0","0","0.18","100.00","2"
"1742809622-115","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Ricci","ITA","1","0","2","0.03","33.33","3"
"1742809622-116","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","D'heer","BEL","1","1","3","0.03","20.00","5"
"1742809622-117","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Pinali","ITA","1","0","2","0.03","33.33","3"
"1742809622-118","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Jensen","DEN","1","3","1","0.03","20.00","5"
"1742809622-119","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Zanotti","ITA","1","0","3","0.03","25.00","4"
"1742809622-120","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Sanguinetti","ITA","1","2","2","0.03","20.00","5"
"1742809622-121","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Tondo","ITA","1","0","0","0.03","100.00","1"
"1742809622-122","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Klapwijk","NED","1","2","10","0.04","7.69","13"
"1742809622-123","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Weber","GER","1","2","3","0.04","16.67","6"
"1742809622-124","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Nicotra","ITA","1","1","14","0.04","6.25","16"
"1742809622-125","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Patry","FRA","1","2","11","0.04","7.14","14"
"1742809622-126","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Dirlic P.","CRO","1","3","4","0.03","12.50","8"
"1742809622-127","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Bovolenta","ITA","1","0","1","0.33","50.00","2"
"1742809622-128","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","66","Dell'Osso","ITA","1","0","0","1.00","100.00","1"
"1742809622-129","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Dardzāns","LAT","0","0","0","","","0"
"1742809622-130","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Travica","ITA","0","1","0","0.00","0.00","1"
"1742809622-131","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Giannelli","ITA","0","3","16","0.00","0.00","19"
"1742809622-132","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Rychlicki","ITA","0","2","9","0.00","0.00","11"
"1742809622-133","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Mengozzi","ITA","0","0","6","0.00","0.00","6"
"1742809622-134","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Giani","ITA","0","0","0","","","0"
"1742809622-135","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Baranowicz","ITA","0","1","13","0.00","0.00","14"
"1742809622-136","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Krick","GER","0","0","0","","","0"
"1742809622-137","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Szwarc","CAN","0","0","0","","","0"
"1742809622-138","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Sbertoli","ITA","0","5","12","0.00","0.00","17"
"1742809622-139","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Albergati","ITA","0","0","2","0.00","0.00","2"
"1742809622-140","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Sperotto","ITA","0","0","2","0.00","0.00","2"
"1742809622-141","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Raphael","BRA","0","0","6","0.00","0.00","6"
"1742809622-142","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Spirito","ITA","0","2","5","0.00","0.00","7"
"1742809622-143","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Qafarena","ALB","0","0","0","","","0"
"1742809622-144","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Calligaro","ITA","0","1","3","0.00","0.00","4"
"1742809622-145","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Orduna","ITA","0","2","9","0.00","0.00","11"
"1742809622-146","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Galliani","ITA","0","0","7","0.00","0.00","7"
"1742809622-147","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Grozer","GER","0","2","5","0.00","0.00","7"
"1742809622-148","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Mitrašinović","CRO","0","0","0","","","0"
"1742809622-149","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Bruno","BRA","0","2","6","0.00","0.00","8"
"1742809622-150","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Sala","ITA","0","0","0","","","0"
"1742809622-151","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","A. Lagumdzija","TUR","0","1","3","0.00","0.00","4"
"1742809622-152","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","T. Štern","SLO","0","1","5","0.00","0.00","6"
"1742809622-153","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Brizard","FRA","0","4","9","0.00","0.00","13"
"1742809622-154","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Pujol","FRA","0","0","1","0.00","0.00","1"
"1742809622-155","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Biernat","POL","0","0","3","0.00","0.00","3"
"1742809622-156","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Pirazzoli","ITA","0","2","2","0.00","0.00","4"
"1742809622-157","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Dimitrov","BUL","0","0","2","0.00","0.00","2"
"1742809622-158","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Peslac","ITA","0","0","0","","","0"
"1742809622-159","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Bassanello","ITA","0","0","2","0.00","0.00","2"
"1742809622-160","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Schiro","ITA","0","0","0","","","0"
"1742809622-161","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Zoppellari","ITA","0","0","0","","","0"
"1742809622-162","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Guzzo","ITA","0","0","0","","","0"
"1742809622-163","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Zimmermann","GER","0","0","5","0.00","0.00","5"
"1742809622-164","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Canella","ITA","0","2","11","0.00","0.00","13"
"1742809622-165","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Crosato","ITA","0","0","6","0.00","0.00","6"
"1742809622-166","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Garcia","USA","0","0","2","0.00","0.00","2"
"1742809622-167","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Sottile","ITA","0","0","0","","","0"
"1742809622-168","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Jeroncic","ITA","0","0","0","","","0"
"1742809622-169","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","De Cecco","ARG","0","0","4","0.00","0.00","4"
"1742809622-170","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Penna","ITA","0","0","0","","","0"
"1742809622-171","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Ambrose","ITA","0","0","0","","","0"
"1742809622-172","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Pellegrino","ITA","0","0","0","","","0"
"1742809622-173","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Falaschi","ITA","0","1","7","0.00","0.00","8"
"1742809622-174","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Sabbi","ITA","0","1","6","0.00","0.00","7"
"1742809622-175","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Saitta","ITA","0","1","15","0.00","0.00","16"
"1742809622-176","https://en.volleyballworld.com/volleyball/competitions/superlega/2021-2022/statistics/best-receivers/","67","Partenio","ITA","0","0","0","","","0"
