web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741349236-86","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","32","Atanasijević","SRB","5","4","6","1.67","33.33","15"
"1741349236-87","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","33","Onodera","JPN","4","3","3","1.00","40.00","10"
"1741349236-88","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","33","Krick","GER","4","1","7","1.00","33.33","12"
"1741349236-89","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","33","Lucas","BRA","4","2","0","1.00","66.67","6"
"1741349236-90","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","33","Azab","EGY","4","8","1","1.33","30.77","13"
"1741349236-91","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","33","Jouffroy","FRA","4","2","1","0.67","57.14","7"
"1741349236-92","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","33","Kovačević","SRB","4","2","3","2.00","44.44","9"
"1741349236-93","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","33","Van Berkel","CAN","4","1","1","1.33","66.67","6"
"1741349236-94","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","34","Maase","GER","3","0","1","1.00","75.00","4"
"1741349236-95","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","34","R.Haikal","EGY","3","6","0","1.00","33.33","9"
"1741349236-96","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","34","A. Seoudy","EGY","3","1","1","1.00","60.00","5"
"1741349236-97","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","34","Louati","FRA","3","1","2","0.50","50.00","6"
"1741349236-98","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","34","Walsh","CAN","3","2","0","3.00","60.00","5"
"1741349236-99","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Schott","GER","2","4","5","0.50","18.18","11"
"1741349236-100","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Honorato","BRA","2","4","1","1.00","28.57","7"
"1741349236-101","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","M. Gaber","EGY","2","3","3","0.67","25.00","8"
"1741349236-102","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Issa","EGY","2","2","1","0.67","40.00","5"
"1741349236-103","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Loser Bruno","ARG","2","1","2","0.67","40.00","5"
"1741349236-104","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Zerba","ARG","2","2","0","0.67","50.00","4"
"1741349236-105","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Kukartsev","ARG","2","1","1","0.67","50.00","4"
"1741349236-106","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Muagututia","USA","2","1","0","0.67","66.67","3"
"1741349236-107","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Ramos","ARG","2","1","0","2.00","66.67","3"
"1741349236-108","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Krsmanović","SRB","2","2","1","0.67","40.00","5"
"1741349236-109","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Faure","FRA","2","1","0","0.67","66.67","3"
"1741349236-110","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","Možič","SLO","2","0","2","1.00","50.00","4"
"1741349236-111","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","35","McCarthy","CAN","2","2","5","0.67","22.22","9"
"1741349236-112","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Brand","GER","1","4","7","0.50","8.33","12"
"1741349236-113","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Fromm","GER","1","0","0","1.00","100.00","1"
"1741349236-114","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Sbertoli","ITA","1","0","3","0.20","25.00","4"
"1741349236-115","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Porro L.","ITA","1","0","0","0.50","100.00","1"
